X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766297.43;6284632.52;0.79;0.84;48;6320;65.2;35.2
766297.42;6284634.19;0.7;0.34;56;5600;60.4;28.8
766297.33;6284637.17;0.83;1.04;57;6640;83.9;28
766324.23;6284652.23;0.24;0.53;16;1920;24.4;60.8
766324.29;6284650.16;0.9;0.56;44;7200;58.5;38.4
766324.46;6284647.47;0.87;0.39;60;6960;72.5;25.6
766324.55;6284644.53;0.78;0.46;60;6240;70.7;25.6
766324.6;6284641.25;0.81;0.43;50;6480;59.4;33.6
766324.65;6284638.73;0.78;0.41;48;6240;56;35.2
766324.72;6284635.04;0.87;0.27;31;6960;43.3;48.8
766324.84;6284632.87;0.74;0.31;54;5920;59;30.4
766324.92;6284630.02;0.74;0.36;58;5920;64.5;27.2
766324.98;6284627.15;0.74;0.35;49;5920;54.6;34.4
766325.02;6284624;0.71;0.37;60;5680;66;25.6
766325.06;6284621.23;0.74;0.38;51;5920;57.2;32.8
766325.21;6284618.12;0.73;0.39;61;5840;68.4;24.8
766325.28;6284616.4;0.72;0.52;55;5760;63.8;29.6
766325.26;6284612.72;0.76;0.32;54;6080;59.8;30.4
766325.38;6284609.82;0.7;0.26;50;5600;52.8;33.6
766325.46;6284606.78;0.66;0.28;59;5280;61.2;26.4
766325.52;6284604.06;0.76;0.36;53;6080;59.5;31.2
766325.57;6284601.09;0.78;0.31;59;6240;66;26.4
766325.6;6284598.35;0.73;0.26;54;5840;57.6;30.4
766325.61;6284595.85;0.7;0.3;54;5600;57.5;30.4
766325.7;6284592.27;0.78;0.31;52;6240;58.1;32
766325.82;6284589.51;0.72;0.38;57;5760;63.1;28
766325.95;6284586.48;0.69;0.37;58;5520;62.9;27.2
766326.03;6284583.26;0.96;0.4;17;7680;41.4;60
766326.16;6284580.63;0.83;0.32;60;6640;69.3;25.6
766326.17;6284577.48;0.73;0.31;52;5840;56.6;32
766326.22;6284574.84;0.71;0.39;58;5680;64.1;27.2
766326.36;6284571.94;0.7;0.33;51;5600;55;32.8
766326.35;6284569.04;0.73;0.31;60;5840;65.4;25.6
766326.37;6284566.53;0.64;0.33;44;5120;46.9;38.4
766326.38;6284562.8;0.84;0.45;4;6720;32.6;70.4
766326.45;6284559.69;0.77;0.33;7;6160;29.7;68
766326.59;6284557.06;0.74;0.41;25;5920;36.8;53.6
766326.65;6284554.88;0.78;0.73;-14;6240;28.7;84.8
766326.7;6284551.63;0.72;0.35;56;5760;61.3;28.8
766326.81;6284548.78;0.71;0.29;55;5680;58.7;29.6
766326.87;6284545.91;0.73;0.3;62;5840;67.5;24
766326.92;6284543.07;0.77;0.31;63;6160;70.5;23.2
766327.04;6284540.03;0.75;0.31;60;6000;66.1;25.6
766327.05;6284537.26;0.91;0.35;55;7280;66.8;29.6
766327.13;6284534.57;0.78;0.43;44;6240;52.4;38.4
766327.28;6284531.71;0.82;0.38;60;6560;70.3;25.6
766322.18;6284532.31;0.79;0.41;55;6320;63.8;29.6
766322.06;6284535.73;0.79;0.35;56;6320;63.7;28.8
766322.04;6284538.03;0.73;0.38;58;5840;64.6;27.2
766321.89;6284541.03;0.75;0.36;59;6000;66;26.4
766321.84;6284544.37;0.76;0.37;57;6080;64.2;28
766321.95;6284547.28;0.79;0.45;48;6320;57;35.2
766321.85;6284549.95;0.78;0.43;55;6240;63.9;29.6
766321.82;6284553.2;0.74;0.35;50;5920;55.6;33.6
766321.72;6284555.32;0.79;0.35;27;6320;38.7;52
766321.72;6284559.01;0.71;0.42;38;5680;45.1;43.2
766321.61;6284561.85;0.71;0.32;62;5680;67.3;24
766321.52;6284564.14;0.72;0.36;55;5760;60.4;29.6
766321.43;6284567.76;0.72;0.42;56;5760;62.8;28.8
766321.39;6284570.04;0.76;0.37;58;6080;65.4;27.2
766321.29;6284573.89;0.74;0.25;49;5920;52.8;34.4
766321.19;6284576.5;0.76;0.29;50;6080;55.1;33.6
766321.17;6284579.1;0.72;0.3;54;5760;58.1;30.4
766321.05;6284582.15;0.72;0.33;50;5760;54.6;33.6
766320.97;6284585.65;0.81;0.37;56;6480;64.8;28.8
766320.91;6284587.83;0.79;0.32;57;6320;64.2;28
766320.87;6284590.78;0.72;0.32;56;5760;60.7;28.8
766320.82;6284593.79;0.76;0.39;62;6080;70.8;24
766320.73;6284596.38;0.86;0.37;44;6880;53.6;38.4
766320.68;6284599.02;0.85;0.33;40;6800;49;41.6
766320.58;6284602.24;0.77;0.37;51;6160;58;32.8
766320.52;6284605.03;0.74;0.26;52;5920;55.9;32
766320.46;6284608.11;0.77;0.33;57;6160;63.7;28
766320.42;6284611.24;0.73;0.4;59;5840;66.2;26.4
766320.34;6284613.74;0.72;0.35;56;5760;61.3;28.8
766320.25;6284617.07;0.77;0.37;59;6160;67;26.4
766320.17;6284619.78;0.78;0.32;44;6240;50.5;38.4
766320.15;6284622.42;0.74;0.4;57;5920;64.2;28
766320;6284625.09;0.76;0.26;41;6080;46.3;40.8
766319.91;6284627.78;0.72;0.28;44;5760;48.2;38.4
766319.86;6284631.3;0.71;0.36;59;5680;64.6;26.4
766319.87;6284634.09;0.74;0.38;56;5920;62.6;28.8
766319.75;6284636.96;0.79;0.38;55;6320;63.2;29.6
766319.77;6284639.56;0.77;0.34;44;6160;50.6;38.4
766319.55;6284643.52;0.74;0.34;27;5920;36.6;52
766319.44;6284645.64;0.8;0.4;62;6400;72.6;24
766319.34;6284648.68;0.88;0.38;60;7040;72.6;25.6
766319.37;6284650.87;0.85;0.55;60;6800;75.7;25.6
766314.66;6284641.53;0.81;0.31;45;6480;52.1;37.6
766314.65;6284639.02;0.75;0.32;61;6000;67.5;24.8
766314.73;6284636.42;0.75;0.27;58;6000;62.9;27.2
766314.85;6284633.37;0.76;0.29;45;6080;50.3;37.6
766314.89;6284630.08;0.75;0.45;46;6000;53.8;36.8
766314.94;6284628;0.72;0.28;48;5760;51.8;35.2
766315.06;6284623.89;0.83;0.8;17;6640;44.3;60
766315.14;6284621.25;0.76;0.32;54;6080;59.8;30.4
766315.16;6284618.63;0.76;0.4;55;6080;62.6;29.6
766315.24;6284615.85;0.77;0.33;57;6160;63.7;28
766315.35;6284612.49;0.82;0.37;51;6560;59.5;32.8
766315.39;6284609.98;0.72;0.48;59;5760;67.6;26.4
766315.51;6284606.89;0.7;0.31;52;5600;55.6;32
766315.56;6284604.39;0.7;0.36;62;5600;67.8;24
766315.66;6284601.16;0.77;0.37;48;6160;54.9;35.2
766315.75;6284598.86;0.74;0.34;53;5920;58.5;31.2
766315.78;6284594.62;0.87;0.55;12;6960;38.5;64
766315.8;6284593.11;0.77;0.34;56;6160;62.8;28.8
766315.99;6284589.39;0.78;0.36;57;6240;64.7;28
766316;6284587.67;0.77;0.45;45;6160;53.4;37.6
766316.14;6284582.9;0.83;0.46;41;6640;51.6;40.8
766316.11;6284581.05;0.75;0.34;54;6000;59.9;30.4
766316.19;6284578.51;0.7;0.33;55;5600;59.2;29.6
766316.22;6284575.95;0.77;0.31;33;6160;41;47.2
766316.39;6284572.66;0.76;0.36;20;6080;34.6;57.6
766316.46;6284569.1;0.74;0.39;55;5920;61.7;29.6
766316.58;6284565.97;0.73;0.31;42;5840;47.2;40
766316.63;6284562.73;0.86;0.44;16;6880;37.9;60.8
766316.71;6284560.35;0.82;0.4;44;6560;53;38.4
766316.8;6284557.05;0.9;0.36;36;7200;49;44.8
766316.87;6284555.27;0.84;0.33;40;6720;48.7;41.6
766316.93;6284551.39;0.79;0.51;29;6320;42.4;50.4
766317.01;6284548.67;0.8;0.33;52;6400;59.2;32
766317.08;6284546.5;0.89;0.38;43;7120;53.7;39.2
766317.21;6284543.04;0.8;0.36;55;6400;63.1;29.6
766317.28;6284540.19;0.76;0.32;58;6080;64.3;27.2
766317.38;6284537.57;0.79;0.47;34;6320;44.6;46.4
766317.45;6284534.88;0.84;0.38;40;6720;49.5;41.6
766317.45;6284532.45;0.82;0.47;17;6560;37.4;60
766312.45;6284531.58;0.83;0.54;50;6640;62.3;33.6
766312.35;6284535.04;0.88;0.38;47;7040;57.4;36
766312.28;6284537;0.79;0.31;61;6320;68.8;24.8
766312.18;6284540.12;0.79;0.35;53;6320;60.3;31.2
766312.12;6284542.95;0.81;0.44;54;6480;64;30.4
766312.09;6284545.59;0.83;0.29;61;6640;69.8;24.8
766312;6284548.42;0.75;0.32;51;6000;56.4;32.8
766311.93;6284551.12;0.8;0.4;54;6400;62.8;30.4
766311.83;6284554.56;0.72;0.35;58;5760;63.6;27.2
766311.73;6284557.44;0.75;0.38;50;6000;56.5;33.6
766311.68;6284560.54;0.78;0.39;55;6240;63.1;29.6
766311.63;6284563.13;0.81;0.32;57;6480;64.9;28
766311.58;6284565.14;0.72;0.31;43;5760;47.8;39.2
766311.48;6284568.59;0.72;0.3;40;5760;45.1;41.6
766311.41;6284571.58;0.82;0.32;61;6560;70.2;24.8
766311.32;6284574.41;0.77;0.4;62;6160;71.4;24
766311.15;6284577.53;0.8;0.38;43;6400;51.2;39.2
766311.14;6284579.87;0.79;0.4;49;6320;57.1;34.4
766311.04;6284583.22;0.78;0.35;58;6240;65.7;27.2
766311.02;6284585.44;0.75;0.33;55;6000;60.8;29.6
766310.91;6284589;0.77;0.35;59;6160;66.5;26.4
766310.82;6284591.38;0.93;0.87;31;7440;59.2;48.8
766310.81;6284594.68;0.81;0.36;61;6480;70.7;24.8
766310.7;6284597.55;0.79;0.31;52;6320;58.4;32
766310.62;6284600.25;0.76;0.39;57;6080;64.7;28
766310.53;6284603.28;0.76;0.43;56;6080;64.4;28.8
766310.41;6284606.37;0.84;0.34;50;6720;58.5;33.6
766310.26;6284608.9;0.74;0.32;56;5920;61.3;28.8
766310.25;6284612;0.76;0.34;58;6080;64.7;27.2
766310.17;6284614.7;0.73;0.38;56;5840;62.3;28.8
766310.13;6284617.72;0.74;0.4;44;5920;50.8;38.4
766310.08;6284620.46;0.76;0.41;48;6080;55.3;35.2
766309.94;6284624.02;0.92;0.39;45;7360;56.8;37.6
766309.93;6284626.06;0.83;0.36;56;6640;65.3;28.8
766309.88;6284629.38;0.75;0.38;61;6000;68.9;24.8
766309.77;6284631.96;0.79;0.33;62;6320;70.5;24
766309.65;6284634.57;0.87;0.36;51;6960;61;32.8
766309.63;6284637.37;0.83;0.36;52;6640;60.8;32
766309.55;6284640.73;0.8;0.31;53;6400;59.8;31.2
766309.54;6284642.15;0.91;0.35;58;7280;70.5;27.2
766304.71;6284640.11;0.35;0.45;-8;2800;17.7;80
766304.74;6284637.57;0.94;0.99;44;7520;73.4;38.4
766304.78;6284635.23;0.93;0.95;40;7440;68.1;41.6
766304.87;6284632.22;0.88;0.49;48;7040;60.7;35.2
766305.01;6284628.88;0.93;0.85;43;7440;67.1;39.2
766305.04;6284626.45;0.86;0.44;54;6880;65.8;30.4
766305.11;6284624.15;0.81;0.42;57;6480;67.2;28
766305.22;6284620.1;0.85;0.69;28;6800;48.5;51.2
766305.28;6284618.09;0.85;0.46;52;6800;63.6;32
766305.35;6284615.55;0.86;0.55;49;6880;62.4;34.4
766305.5;6284611.95;0.81;0.38;58;6480;67.4;27.2
766305.51;6284608.63;0.8;0.39;48;6400;56.2;35.2
766305.63;6284605.97;0.84;0.41;50;6720;59.9;33.6
766305.66;6284603.27;0.88;0.41;49;7040;60.2;34.4
766305.63;6284600.52;0.91;0.49;50;7280;64;33.6
766305.76;6284597.73;0.81;0.28;60;6480;67.6;25.6
766305.87;6284594.9;0.86;0.46;48;6880;59.5;35.2
766305.93;6284592.05;0.81;0.34;61;6480;70.2;24.8
766305.98;6284589.15;0.85;0.59;27;6800;45.7;52
766306.04;6284586.63;0.94;0.45;49;7520;63;34.4
766306.13;6284582.67;0.82;0.37;45;6560;53.4;37.6
766306.13;6284580.62;0.81;0.43;55;6480;65;29.6
766306.24;6284577.12;0.88;0.43;53;7040;65.1;31.2
766306.37;6284575.1;0.78;0.4;54;6240;62.1;30.4
766306.38;6284571.95;0.9;0.46;43;7200;55.5;39.2
766306.4;6284568.64;0.89;0.34;57;7120;68.3;28
766306.53;6284565.85;0.83;0.39;62;6640;73.5;24
766306.64;6284562.56;0.83;0.42;57;6640;67.9;28
766306.72;6284559.84;0.86;0.4;56;6880;67.3;28.8
766306.81;6284557.14;0.72;0.36;51;5760;56.2;32.8
766306.86;6284554.17;0.8;0.31;55;6400;62;29.6
766306.91;6284551.45;0.74;0.34;54;5920;59.6;30.4
766307.03;6284548.46;0.74;0.36;56;5920;62.2;28.8
766307.06;6284546.16;0.75;0.34;36;6000;43.3;44.8
766307.17;6284542.14;0.91;0.59;3;7280;36.9;71.2
766307.21;6284540.23;0.76;0.37;57;6080;64.2;28
766307.3;6284536.98;0.74;0.38;60;5920;67.3;25.6
766307.39;6284534.21;0.71;0.34;53;5680;57.6;31.2
766307.41;6284532.1;0.79;0.39;55;6320;63.4;29.6
766302.35;6284531.82;0.9;0.49;65;7200;83.5;21.6
766302.36;6284534.72;0.84;0.8;54;6720;73.6;30.4
766302.35;6284537.22;0.86;0.88;51;6880;72.4;32.8
766302.21;6284540.13;0.81;0.42;50;6480;59.2;33.6
766302.07;6284543.05;0.83;0.36;62;6640;72.8;24
766302;6284545.89;0.82;0.35;62;6560;72.2;24
766301.94;6284548.87;0.84;0.42;57;6720;68.3;28
766301.9;6284551.49;0.83;0.37;55;6640;64.4;29.6
766301.85;6284554.35;0.81;0.38;51;6480;59.4;32.8
766301.79;6284557.34;0.81;0.33;53;6480;60.6;31.2
766301.71;6284560.55;0.75;0.35;50;6000;55.9;33.6
766301.57;6284563.14;0.79;0.32;55;6320;61.9;29.6
766301.53;6284565.86;0.81;0.37;55;6480;63.7;29.6
766301.58;6284569.56;0.94;0.4;25;7520;44.9;53.6
766301.47;6284571.64;0.86;0.43;52;6880;63.3;32
766301.41;6284573.83;0.85;0.4;37;6800;47.6;44
766301.33;6284576.96;0.85;0.89;51;6800;72.3;32.8
766301.3;6284580.42;0.76;0.36;60;6080;67.6;25.6
766301.14;6284583.03;0.8;0.4;62;6400;72.6;24
766301.13;6284585.66;0.81;0.34;55;6480;63;29.6
766300.95;6284588.89;0.83;0.45;53;6640;63.8;31.2
766300.91;6284591.43;0.83;0.32;57;6640;65.6;28
766300.83;6284594.8;0.82;0.46;48;6560;58.2;35.2
766300.82;6284597.39;0.82;0.8;46;6560;63;36.8
766300.72;6284599.89;0.82;0.35;55;6560;63.6;29.6
766300.67;6284603.52;0.82;0.46;15;6560;36.4;61.6
766300.6;6284606.24;0.84;0.31;55;6720;63.4;29.6
766300.47;6284608.76;0.75;0.38;62;6000;70.2;24
766300.49;6284611.24;0.85;0.43;49;6800;59.6;34.4
766300.41;6284615.39;0.81;0.42;51;6480;60.3;32.8
766300.27;6284617.84;0.83;0.41;27;6640;41.1;52
766300.21;6284620.26;0.74;0.43;61;5920;69.7;24.8
766300.06;6284623.01;0.8;0.49;57;6400;68.4;28
766300.03;6284626.36;0.78;0.39;46;6240;53.6;36.8
766300.02;6284628.02;0.8;0.61;29;6400;44.9;50.4
766299.92;6284631.91;0.7;0.95;36;5600;52.1;44.8
766299.91;6284634.46;0.7;0.4;57;5600;62.8;28
766299.83;6284637.22;0.8;0.5;53;6400;63.8;31.2
